"250012065","lanagwap","","","Royal Oak","","","","Royal Oak","","Main Street","","","","o/s","","N","E0047436","Hornby","","","Lancaster","","Hornby-with-Farleton","","1","U",358436,468738,-2.6372854392,54.1128281099,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2015-09-30T11:01:00",2,"rev","act"
"250011967","lanagtdw","","","Hatlex Lane","","","","Hatlex Lane","","Hatlex Drive","","","","by","","NE","E0015977","Hest Bank","","","Lancaster","","Hest Bank","","0","U",347129,466629,-2.8098583950,54.0928350379,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T11:48:00",1,"rev","act"
"250011968","lanagtga","","","Beech Grove","","","","Hest Bank Lane","","Hest Bank Lane","","","","opp","","SE","E0047450","Slyne-with-Hest","","","Lancaster","","Slyne-with-Hest","","0","U",347584,464979,-2.8026161932,54.0780537146,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2016-06-20T15:54:00",2,"rev","act"
"250011980","lanagtja","","","Hale Carr Lane","","","","Hale Carr Lane","","Kingsway","","","","by","","SW","E0016032","Kingsway","Morecambe","","Lancaster","","Kingsway","","0","U",342150,462314,-2.8851490818,54.0535219073,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2014-01-08T08:26:00",2,"rev","act"
"250011983","lanagtjd","","","Strawberry Gardens","","","","Knowlys Road","","Heysham Road","","","","by","","N","E0015978","Heysham","Morecambe","","Lancaster","","Heysham","","0","U",341669,461678,-2.8923728448,54.0477521995,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-05T16:05:00",1,"rev","act"
"250011984","lanagtjg","","","Longlands Avenue","","","","Longlands Avenue","","Longlands Lane","","","","by","","E","E0015978","Heysham","Morecambe","","Lancaster","","Heysham","","0","U",341462,461459,-2.8954915736,54.0457606566,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2012-04-30T12:53:00",2,"rev","act"
"250011987","lanagtjm","","","Rothesay Road","","","","Rothesay Road","","Rothesay Road","","","","by","","N","E0015978","Heysham","Morecambe","","Lancaster","","Heysham","","0","U",341004,460332,-2.9022658138,54.0355806073,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2012-10-23T14:37:00",5,"del","del"
"250011988","lanagtjp","","","Royds Grove","","","","Royds Grove","","Heysham Road","","","","by","","N","E0015978","Heysham","Morecambe","","Lancaster","","Heysham","","0","U",341707,462216,-2.8918961232,54.0525912337,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-05T16:06:00",1,"rev","act"
"250012003","lanagtmd","","","Barley Bank","","","","Barley Bank","","Rantreefold Road","","","","by","","W","E0016023","Tatham Fells","","","Lancaster","","Tatham Fells","","0","U",365706,465887,-2.5257600115,54.0877434873,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2017-06-26T14:11:33",2,"rev","act"
"250012059","lanagwaj","","","St Margarets CEPS","","","","St Margarets CEPS","","Melling Road","","","","opp","","S","E0047436","Hornby","","","Lancaster","","Hornby-with-Farleton","","0","U",358447,468737,-2.6371170494,54.1128200140,"BCT","CUS","TIP","","","","087","2006-08-24T00:00:00","2012-05-24T12:09:00",4,"rev","act"
